source,target,weight
true,a,1
true,academic,1
true,advice,1
true,agree,1
true,apple,1
true,assume,1
true,b,1
true,beautiful,1
true,believe,1
true,better-idea,1
true,birds,1
true,black,1
true,board,1
true,branch,1
true,bush,1
true,c,1
true,claim,1
true,clever,1
true,climbing-trees,1
true,condition,1
true,consider,1
true,cool,1
true,count,1
true,declare,1
true,different-way,1
true,discussion,1
true,environment,1
true,expect,1
true,family,1
true,family-tree,1
true,fiuits,1
true,flowers,1
true,forest,1
true,fruits,1
true,full-of-life,1
true,good,1
true,grass,1
true,green,1
true,greern,1
true,growth,1
true,guess,1
true,high,1
true,hypothetical-situation,1
true,idea,1
true,ideas,1
true,if,1
true,imagine,1
true,jar,1
true,kind,1
true,language-tree,1
true,leaf,1
true,leafy,1
true,leave,1
true,life,1
true,long-life,1
true,maintain,1
true,maybe,1
true,might-think-this-way,1
true,mountain,1
true,nature,1
true,not-sure,1
true,ought,1
true,plant,1
true,presume,1
true,propose,1
true,question,1
true,resume,1
true,right,1
true,roots,1
true,should,1
true,shower,1
true,sport,1
true,spring,1
true,stem,1
true,street,1
true,subjectively,1
true,suggest,1
true,suggestion,1
true,support,1
true,supposed,1
true,supposed-agreement,1
true,sure,1
true,tall,1
true,tember,1
true,think,1
true,thinking,1
true,thought,1
true,treat,1
true,trip,1
true,trunk,1
true,very-tall,1
true,wood,1
true,woods,1
true,writing,1
a,advice,1
a,b,1
a,c,1
a,claim,1
a,clever,1
a,condition,1
a,count,1
a,declare,1
a,discussion,1
a,expect,1
a,good,1
a,ideas,1
a,if,1
a,imagine,1
a,not-sure,1
a,ought,1
a,question,1
a,resume,1
a,sport,1
a,subjectively,1
a,support,1
a,supposed,1
a,supposed-agreement,1
a,thinking,1
a-block-of-buildings,card,1
a-color,arrogant,1
a-color,beautiful,1
a-color,black,1
a-color,blue,1
a-color,clean,1
a-color,cloud,1
a-color,clouds,1
a-color,color,1
a-color,colourless,1
a-color,crystal,1
a-color,FALSE,1
a-color,green,1
a-color,innocent,1
a-color,listen,1
a-color,man,1
a-color,marrige,1
a-color,paper,1
a-color,picture,1
a-color,pure,1
a-color,purity,1
a-color,quiet,1
a-color,rather-clean,1
a-color,read,1
a-color,red,1
a-color,saint,1
a-color,shirt,1
a-color,shoes,1
a-color,simple,1
a-color,snow,1
a-color,speak,1
a-color,the-holy-spirit,1
a-color,what,1
a-color,w??ll,1
a-color,yellow,1
a-color,young,1
a-complex-sentence,a-block-of-buildings,1
a-complex-sentence,building,1
a-complex-sentence,card,1
a-complex-sentence,complete,1
a-complex-sentence,complexity,1
a-complex-sentence,detailed,1
