source,target,weight
True,sentence,1
True,significant,1
True,size,1
True,sleep,1
True,something,1
True,special,1
True,study,1
True,substance,1
True,successful,1
True,suit,1
True,suitable,1
True,target,1
True,that,1
True,thing,1
True,think,1
True,thinking,1
True,thought,1
True,tick,1
True,time,1
True,timely,1
True,to,1
True,totally,1
True,tough,1
True,trusted,1
True,truth,2
True,understand,1
True,urgent,1
True,useful,1
True,vain,1
True,valuable,1
True,vital,1
True,water,1
True,way,1
True,wonderfully,1
True,wrong,1
True,yield,1
a,action,1
a,bear,1
a,color,1
a,love,1
a,perform,1
a,preferably,1
a,rather,1
a,special,1
a,teacher,1
a,unfair,1
abandon,away,1
abandon,ball,1
abandon,basketball,1
abandon,bin,1
abandon,canbin,1
abandon,cast,1
abandon,curve,1
abandon,far,1
abandon,fearlessly,1
abandon,feeling,1
abandon,firecracker,1
abandon,hand,1
abandon,hard,1
abandon,high,1
abandon,hit,1
abandon,key,1
abandon,litter,1
abandon,look,1
abandon,object,1
abandon,out,1
abandon,paper,1
abandon,pebble,1
abandon,people,1
abandon,pick,1
abandon,pitch,1
abandon,put,1
abandon,risk,1
abandon,robot,1
abandon,rubbish,1
abandon,something,1
abandon,stone,1
abandon,thing,1
abandon,threw,1
abandon,through,1
abandon,throw,1
abandon,tissue,1
abandon,toy,1
abandon,trash,1
abandon,uselessness,1
abandon,value,1
abandon,vomit,1
abandon,waste,1
abnormal,brain,1
abnormal,emotional,1
abnormal,healthy,1
abnormal,heart,1
abnormal,ideal,1
abnormal,illness,1
abnormal,internal,1
abnormal,love,1
abnormal,memtally,1
abnormal,psycho,1
abnormal,psychology,1
abnormal,psychopath,1
abnormal,sanity,1
abnormal,secret,1
abnormal,spirit,1
abnormal,teach,1
abnormal,world,1
absorb,allure,1
absorb,appeal,1
absorb,attack,1
absorb,attention,1
absorb,attraction,1
absorb,attractive,1
absorb,beautiful,1
absorb,catch,1
absorb,cause,1
absorb,charm,1
absorb,computer,1
absorb,contract,1
absorb,face,1
absorb,fascinate,1
absorb,heart,1
absorb,interest,1
absorb,interesting,1
absorb,like,1
absorb,lure,1
absorb,popular,1
absorb,potentially,1
absorb,shut,1
absorb,skirt,1
absorb,talent,1
absorb,target,1
absorb,tempt,1
absorb,women,1
abstract,particular,1
abuse,alcohol,1
abuse,beer,1
abuse,bottle,1
abuse,burn,1
abuse,champagne,1
abuse,coco,1
abuse,coffee,1
abuse,cola,1
abuse,drinks,1
abuse,drive,1
abuse,drunk,1
abuse,eat,1
abuse,food,1
abuse,healthy,1
abuse,juice,1
abuse,juicy,1
abuse,liquor,1
abuse,make,1
abuse,milk,1
abuse,milktea,1
abuse,orange-juice,1
abuse,play,1
abuse,quick,1
abuse,sip,1
abuse,slow,1
abuse,straw,1
abuse,tea,1
abuse,thirstily,1
abuse,thrist,1
abuse,water,1
abuse,watermelon,1
abuse,wine,1
accompany,baby,1
accompany,big,1
accompany,black,1
accompany,cow,1
accompany,cut,1
accompany,cute,1
accompany,doggie,1
accompany,doggy,1
accompany,duck,1
accompany,faithful,1
accompany,food,1
accompany,friend,1
accompany,good,1
accompany,handsome,1
accompany,happy,1
accompany,husky,1
accompany,jack,1
accompany,love,1
accompany,loyal,1
accompany,pet,1
accompany,puppy,1
accompany,rabbit,1
accompany,run,1
accompany,shadow,1
accompany,touch,1
accompany,wolf,1
accompany,zoo,1
achieve,act,1
achieve,apt,1
achieve,attack,1
achieve,attend,1
achieve,attention,1
achieve,awareness,1
achieve,brave,1
achieve,cause,1
achieve,clear,1
achieve,come-true,1
achieve,consciousness,1
achieve,correct,1
achieve,do,1
achieve,dream,2
achieve,except,1
achieve,friendly,1
achieve,fulfill,1
achieve,head,1
achieve,know,1
achieve,manage,1
achieve,meaning,1
achieve,means,1
achieve,new,1
achieve,plan,1
achieve,realistic,1
achieve,realistically,1
achieve,realization,1
achieve,reliable,1
achieve,remind,1
achieve,strive,1
achieve,success,1
achieve,successful,2
achieve,target,1
achieve,telephone,1
achieve,think,1
achieve,thinking,1
achieve,thought,1
achieve,truth,1
achieve,want,1
achieve,wonderfully,1
acquaint,friendly,1
acquaint,mile,1
acquaint,photo,1
acquaint,shine,1
across,boat,1
across,bridge,1
across,brook,1
across,clear,1
across,creek,1
across,earth,1
across,fish,1
across,grass,1
across,hill,1
across,lake,1
across,limpid,1
across,river,1
across,row,1
across,running,1
across,sea,1
across,side,1
across,slow,1
across,stone,1
across,stream,1
across,valley,1
across,water,1
across,yangtze,1
act,attention,1
act,brave,1
act,correct,1
act,except,1
act,manage,1
act,means,1
act,telephone,1
action,achieve,1
action,act,1
action,apt,1
action,attack,1
action,attemption,1
action,attend,1
action,attention,1
action,brave,1
action,contempt,1
action,correct,1
action,do,1
action,down,1
action,dream,1
action,except,1
action,hard,1
action,love,1
action,manage,1
action,means,1
action,new,1
action,plan,1
action,pretend,1
action,snack,1
action,strive,1
action,success,1
action,successful,1
action,teacher,1
action,telephone,1
action,temporary,1
action,tempt,1
action,tempting,1
action,try,1
action,want,1
actuall,appropriate,1
actuall,available,1
actuall,bracket,1
actuall,choice,1
actuall,complete,1
actuall,correct,1
actuall,determination,1
actuall,document,1
actuall,exam,1
actuall,fact,1
actuall,fit,1
actuall,formal,1
actuall,genuine,1
actuall,good,1
actuall,money,1
actuall,opt,1
actuall,paper,1
actuall,pepper,1
