source,target,weight
across,think,1
across,threw,1
across,thrid,1
across,thrown,1
across,twist,1
act,attach,1
act,attention,1
act,audience,1
act,heart,1
act,love,1
action,absorb,1
action,act,1
action,add,1
action,addicted,1
action,afraid,1
action,appeal,1
action,art,1
action,attach,1
action,attack,1
action,attention,1
action,attracti,1
action,attraction,1
action,attractive,1
action,audience,1
action,badminton,1
action,charm,1
action,do,1
action,family,1
action,fantastic,1
action,fascinate,1
action,food,1
action,hard,1
action,heart,1
action,interest,1
action,like,1
action,love,1
action,mild,1
action,success,1
action,try,1
action,valne,1
active,absorb,1
active,act,1
active,action,1
active,add,1
active,addict,1
active,addicted,1
active,afraid,1
active,amazing,1
active,anything,1
active,appeal,1
active,art,1
active,attach,1
active,attack,1
active,attention,1
active,attracti,1
active,attraction,1
active,attractive,1
active,audience,1
active,average,1
active,badminton,1
active,brain,1
active,charm,1
active,combine,1
active,do,1
active,emotion,1
active,extra,1
active,family,1
active,fantastic,1
active,fascinate,1
active,feeling,1
active,food,1
active,game,1
active,games,1
active,gentle,1
active,gun,1
active,hand,1
active,happy,1
active,hard,2
active,head,1
active,health,1
active,healthy,1
active,heart,2
active,illness,1
active,incredible,1
active,influnce,1
active,interest,1
active,knife,1
active,like,1
active,love,1
active,main,1
active,man,1
active,mean,1
active,meaning,1
active,measure,1
active,meat,1
active,men,1
active,mental,1
active,mentally,1
active,metal,1
active,mild,1
active,music,1
active,phycology,1
active,psycho,1
active,psychological,1
active,rare,1
active,replace,1
active,serious,1
active,stable,1
active,stress,1
active,strike,1
active,success,1
active,think,1
active,thought,1
active,total,1
active,train,1
active,try,1
active,valne,1
active,wander,1
activity,absorb,1
activity,act,1
activity,action,1
activity,active,1
activity,add,1
activity,addict,1
activity,addicted,1
activity,afraid,1
activity,amazing,1
activity,anything,1
activity,appeal,1
activity,art,1
activity,attach,1
activity,attack,1
activity,attantion,1
activity,attention,1
activity,attracti,1
activity,attraction,1
activity,attractive,1
activity,audience,1
activity,badminton,1
activity,basketball,1
activity,breeze,1
activity,cartoon,1
activity,charm,1
activity,do,1
activity,draw,1
activity,family,1
activity,fantastic,1
activity,fascinate,1
activity,fascinating,1
activity,food,1
activity,game,1
activity,games,1
activity,gun,1
activity,hard,1
activity,hate,1
activity,heart,1
activity,incredible,1
activity,influnce,1
activity,interest,1
activity,like,1
activity,love,1
activity,mild,1
activity,myself,1
activity,on,1
activity,people,1
activity,phone,1
activity,rare,1
activity,serious,1
activity,soft,1
activity,someone,1
activity,something,1
activity,strike,1
activity,success,1
activity,talented,1
activity,train,1
activity,try,1
activity,valne,1
activity,wander,1
adaptation,available,1
adaptation,baby,1
adaptation,bad,1
adaptation,bank,1
adaptation,benefit,1
adaptation,care,1
adaptation,cash,1
adaptation,cheep,1
adaptation,cherish,1
adaptation,chrish,1
adaptation,concious,1
adaptation,diamond,1
adaptation,essay,1
adaptation,evalue,1
adaptation,expensive,1
adaptation,fee,1
adaptation,give,1
adaptation,good,1
adaptation,importance,1
adaptation,important,1
adaptation,improve,1
adaptation,issue,1
adaptation,key,1
adaptation,knowledge,1
adaptation,life,1
adaptation,lilce,1
adaptation,love,1
adaptation,luxury,1
adaptation,money,1
adaptation,own,1
adaptation,precious,1
adaptation,price,1
adaptation,prize,1
adaptation,profit,1
adaptation,rich,1
adaptation,significance,1
adaptation,society,1
adaptation,spirit,1
adaptation,thing,1
adaptation,time,1
adaptation,trade,1
adaptation,treasure,1
adaptation,trust,1
adaptation,useful,1
adaptation,useless,1
adaptation,valuable,1
adaptation,value,1
adaptation,well,1
adaptation,worth,1
adaptation,worthy,1
adaptation,yourself,1
add,act,1
add,afraid,1
add,appeal,1
add,attach,1
add,attack,1
add,attention,1
add,attracti,1
add,attraction,1
add,attractive,1
add,audience,1
add,badminton,1
add,charm,1
add,do,1
add,family,1
add,fantastic,1
add,food,1
add,hard,1
add,heart,1
add,interest,1
add,like,1
add,love,1
add,mild,1
add,success,1
add,valne,1
addict,absorb,1
addict,act,1
addict,action,1
addict,add,1
addict,addicted,1
addict,afraid,1
addict,amazing,1
addict,anything,1
addict,appeal,1
addict,art,1
addict,attach,1
addict,attack,1
addict,attention,1
addict,attracti,1
addict,attraction,1
addict,attractive,1
addict,audience,1
addict,badminton,1
addict,charm,1
addict,do,1
addict,family,1
addict,fantastic,1
addict,fascinate,1
addict,food,1
addict,game,1
addict,games,1
addict,gun,1
addict,hard,1
addict,heart,1
addict,incredible,1
addict,interest,1
addict,like,1
addict,love,1
addict,mild,1
addict,rare,1
addict,serious,1
addict,strike,1
addict,success,1
addict,train,1
addict,try,1
addict,valne,1
addict,wander,1
addicted,act,1
addicted,add,1
addicted,afraid,1
addicted,appeal,1
addicted,attach,1
addicted,attack,1
addicted,attention,1
addicted,attracti,1
addicted,attraction,1
addicted,attractive,1
addicted,audience,1
addicted,badminton,1
addicted,charm,1
addicted,do,1
addicted,family,1
addicted,fantastic,1
addicted,food,1
addicted,hard,1
addicted,heart,1
addicted,interest,1
addicted,like,1
addicted,love,1
addicted,mild,1
addicted,success,1
addicted,valne,1
admire,adorable,1
admire,affection,1
admire,attract,1
admire,country,1
admire,fall,1
admire,friendly,1
admire,heart,1
admire,helpful,1
admire,mother,1
admire,prefer,1
adopt,across,1
adopt,appeal,1
adopt,available,1
adopt,away,1
adopt,bin,1
adopt,break,1
adopt,camy,1
adopt,car,1
adopt,cast,1
adopt,catch,1
adopt,fall-down,1
adopt,food,1
adopt,garbage,1
adopt,go,1
adopt,occasion,1
adopt,path,1
adopt,pick,1
adopt,place,1
adopt,pull,1
adopt,push,1
adopt,put,1
adopt,rubbish,1
adopt,run,1
adopt,shoot,1
adopt,something,1
adopt,think,1
adopt,third,1
adopt,though,1
adopt,threw,1
adopt,thrid,1
adopt,thrown,1
adopt,tidy,1
adopt,toss,1
adopt,twist,1
adopt,useless,1
adopt,wall,1
adopt,went,1
adorable,attract,1
adorable,country,1
adorable,fall,1
adorable,friendly,1
adorable,heart,1
adorable,prefer,1
adore,admire,1
adore,adorable,1
adore,affection,1
adore,attract,1
adore,country,1
adore,fall,1
adore,family,1
adore,favorite,1
adore,friendly,1
adore,heart,1
adore,helpful,1
adore,like,1
adore,mother,1
adore,prefer,1
aerobics,brave,1
aerobics,building,1
aerobics,climber,1
aerobics,dance,1
aerobics,dangerous,1
aerobics,down,1
aerobics,fall,1
aerobics,grab,1
aerobics,green,1
aerobics,pick,1
aerobics,progress,1
aerobics,sing,1
aerobics,top,1
aerobics,trouble,1
aerobics,up,1
affection,adorable,1
affection,attract,1
affection,country,1
affection,fall,1
affection,friendly,1
affection,heart,1
affection,helpful,1
affection,prefer,1
afraid,act,1
afraid,attach,1
afraid,attack,1
afraid,attention,1
afraid,attraction,1
afraid,audience,1
afraid,heart,1
afraid,interest,1
afraid,love,1
afraid,valne,1
after,awareness,1
after,complete,1
after,know,1
after,personal,1
after,persuade,1
after,recall,1
after,reliable,1
after,scene,1
after,what,1
after,word,1
age,answer,1
age,appropriate,1
age,correct,1
age,dog,1
age,dream,1
age,elder,1
age,everyone,1
age,experienced,1
age,faith,1
age,fault,1
age,fish,1
age,fitting,1
age,fix,1
age,good,1
age,grandma,1
age,history,1
age,improper,1
age,man,2
age,mother,1
age,new,1
age,older,1
age,paper,1
age,person,1
age,pick,1
age,prop,1
age,proper,1
age,properly,1
age,property,1
age,really,1
age,sheep,1
age,shoe,1
age,should,1
age,suit,1
age,truth,1
age,weak,1
age,yes,1
age,young,1
